what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487033597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487035445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487047005
activated,perspective,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.Perspective",1318487048105
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1318487048118
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1318487049901
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318487049917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487050305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487050775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487052087
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487073408
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textEnd",1318487074573
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1318487078556
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318487084206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487085189
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487091090
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1318487093164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487093432
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487245527
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487250085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487253072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487277786
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487298193
activated,perspective,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.Perspective",1318487299978
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1318487299993
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.LogCatView",1318487300731
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1318487308394
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318487308411
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318487308527
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318487308614
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1318487310972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487311400
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1318487311428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1318487311637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487312866
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1318487313839
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1318487314215
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318487316130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487316900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487322387
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318487326246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487328392
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487341333
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487343784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487344739
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487345344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487346234
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1318487349626
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487349954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1318487351379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487351882
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1318487351890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487352439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487359001
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487359912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487376058
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487376581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487385000
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318487385024
activated,perspective,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.Perspective",1318487391384
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1318487391399
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.LogCatView",1318487392156
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1318487396785
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318487396801
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487398904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487399557
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487399738
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487405129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487406336
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487409147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487409928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487417949
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1318487422273
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318487425442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487427241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487473407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487474623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487476356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487484688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487491187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487492073
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487496059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487497464
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487526026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487526952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487528073
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487529127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487530090
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487531512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487533610
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487534665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487538929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487539920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487541274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487542304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487553776
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318487555754
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318487558184
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487560001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487561659
activated,perspective,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.Perspective",1318487562317
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1318487562329
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.LogCatView",1318487565124
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1318487570771
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318487570789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318487582573
